time,Bx,By,Bz,BT,point
4.214415,-48.242300000000014,6.0267,-36.26650000000001,60.65520000000001,22
4.224457,-48.25150000000002,6.031199999999999,-36.29690000000001,60.680900000000015,22
4.234501,-48.25500000000001,6.038300000000001,-36.333,60.70570000000001,22
4.244464,-48.247900000000016,6.0436000000000005,-36.371,60.72300000000001,22
4.254579,-48.233900000000006,6.051900000000001,-36.41330000000001,60.73780000000001,22
4.268709,-48.21860000000001,6.056399999999999,-36.44750000000001,60.746300000000005,22
4.274579,-48.20130000000001,6.0565,-36.47860000000001,60.75110000000001,22
4.284554,-48.18080000000001,6.051500000000001,-36.50170000000001,60.748100000000015,22
4.294335,-48.15960000000001,6.0389,-36.52100000000001,60.74170000000001,22
4.304826,-48.136400000000016,6.022600000000001,-36.532300000000006,60.72860000000001,22
4.31441,-48.11940000000001,6.0,-36.5375,60.716100000000004,22
4.324487,-48.11860000000001,5.975600000000002,-36.5371,60.712900000000005,22
4.334418,-48.13290000000001,5.950500000000002,-36.524100000000004,60.714000000000006,22
4.344377,-48.16400000000001,5.9279,-36.5067,60.726200000000006,22
4.354747,-48.21070000000001,5.9123,-36.4775,60.74440000000001,22
4.37316,-48.26940000000001,5.9061,-36.4482,60.77310000000001,22
4.375311,-48.339400000000005,5.908600000000001,-36.411500000000004,60.80720000000001,22
4.389938,-48.423100000000005,5.9206,-36.37340000000001,60.8524,22
4.394623,-48.5119,5.9465,-36.331500000000005,60.900600000000004,22
4.404661,-48.603300000000004,5.9811000000000005,-36.288900000000005,60.9513,22
4.414555,-48.6896,6.022600000000001,-36.246300000000005,60.99870000000001,22
4.424283,-48.76090000000001,6.065900000000001,-36.2043,61.034800000000004,22
4.434316,-48.81770000000001,6.106700000000001,-36.1699,61.06380000000001,22
4.444174,-48.85830000000001,6.143700000000001,-36.138000000000005,61.080900000000014,22
4.454217,-48.88390000000001,6.1688,-36.116800000000005,61.091200000000015,22
4.464099,-48.89310000000001,6.181400000000001,-36.098800000000004,61.089100000000016,22
4.474337,-48.88790000000001,6.185900000000001,-36.08820000000001,61.07910000000001,22
4.48422,-48.86900000000001,6.184700000000001,-36.0783,61.05790000000001,22
4.494083,-48.84250000000001,6.1747000000000005,-36.0728,61.032500000000006,22
4.50434,-48.81340000000001,6.1622,-36.0698,61.0063,22
4.51426,-48.78070000000001,6.1466,-36.0723,60.9801,22
4.524227,-48.755500000000005,6.130999999999999,-36.0786,60.96210000000001,22
4.535297,-48.73530000000001,6.119200000000001,-36.082300000000004,60.946900000000014,22
4.544135,-48.72010000000001,6.109900000000001,-36.084700000000005,60.93520000000001,22
4.554207,-48.70810000000001,6.109300000000001,-36.08390000000001,60.92500000000001,22
4.564113,-48.698100000000004,6.1137000000000015,-36.0869,60.9191,22
